event_id,session_id,user_id,timestamp,amount,quantity,category,merchant,merchant_known,declared_max_amount,declared_max_qty,hist_avg_amount,amount_dev_ratio,category_matches_home,tool_calls_in_session,session_duration_s,retry_count,hour_of_day,idempotency_key,scenario_label,is_violation
sess_000001_a0,sess_000001,0,2026-04-26T09:16:22,692.62,1,books,merchant_040,1,2822.52,3,724.32,0.956,0,3,414,1,9,sess_000001_0,legit,0
sess_000001_a1,sess_000001,0,2026-04-26T09:29:46,389.34,1,electronics,merchant_048,1,2822.52,3,724.32,0.538,1,5,307,0,9,sess_000001_1,legit,0
sess_000001_a2,sess_000001,0,2026-04-26T09:32:30,1136.89,1,electronics,merchant_048,1,2822.52,3,724.32,1.57,1,4,115,1,9,sess_000001_2,legit,0
sess_000001_a3,sess_000001,0,2026-04-26T09:26:48,932.06,1,electronics,merchant_005,1,2822.52,3,724.32,1.287,1,3,29,1,9,sess_000001_3,legit,0
sess_000002_a0,sess_000002,0,2026-07-12T19:23:09,655.77,1,electronics,merchant_023,1,2822.52,3,724.32,0.905,1,4,158,0,19,sess_000002_0,legit,0
sess_000003_a0,sess_000003,0,2026-02-14T23:16:02,992.33,1,electronics,merchant_011,1,2822.52,3,724.32,1.37,1,5,553,0,23,sess_000003_0,legit,0
sess_000004_a0,sess_000004,0,2026-06-24T23:18:09,727.68,1,electronics,merchant_048,1,2822.52,3,724.32,1.005,1,2,564,1,23,sess_000004_0,legit,0
sess_000005_a0,sess_000005,0,2026-02-14T06:51:03,1001.05,1,electronics,merchant_011,1,2822.52,3,724.32,1.382,1,2,563,0,6,sess_000005_0,legit,0
sess_000006_a0,sess_000006,0,2026-03-02T08:38:33,775.24,1,electronics,merchant_023,1,2822.52,3,724.32,1.07,1,2,598,0,8,sess_000006_0,legit,0
sess_000006_a1,sess_000006,0,2026-03-02T08:49:00,487.48,1,electronics,merchant_023,1,2822.52,3,724.32,0.673,1,3,334,0,8,sess_000006_1,legit,0
sess_000006_a2,sess_000006,0,2026-03-02T08:39:54,5433.84,1,electronics,merchant_032,0,2822.52,3,724.32,7.502,1,2,351,1,8,sess_000006_2,amount_manipulation,1
sess_000006_a3,sess_000006,0,2026-03-02T08:58:28,1250.79,1,electronics,merchant_023,1,2822.52,3,724.32,1.727,1,2,56,0,8,sess_000006_3,legit,0
sess_000007_a0,sess_000007,0,2026-06-15T09:44:24,405.2,1,electronics,merchant_005,1,2822.52,3,724.32,0.559,1,2,488,0,9,sess_000007_0,legit,0
sess_000007_a1,sess_000007,0,2026-06-15T09:45:56,429.81,1,groceries,merchant_048,1,2822.52,3,724.32,0.593,0,3,89,1,9,sess_000007_1,legit,0
sess_000007_a2,sess_000007,0,2026-06-15T10:06:18,525.53,1,electronics,merchant_023,1,2822.52,3,724.32,0.726,1,4,64,1,10,sess_000007_2,legit,0
sess_000008_a0,sess_000008,0,2026-05-01T19:59:51,706.39,1,electronics,merchant_052,0,2822.52,3,724.32,0.975,1,2,314,1,19,sess_000008_0,merchant_substitution,1
sess_000008_a1,sess_000008,0,2026-05-01T20:08:44,1133.99,1,electronics,merchant_023,1,2822.52,3,724.32,1.566,1,2,104,1,20,sess_000008_1,legit,0
sess_000009_a0,sess_000009,0,2026-01-29T20:14:55,771.35,1,electronics,merchant_048,1,2822.52,3,724.32,1.065,1,3,341,1,20,sess_000009_0,legit,0
sess_000010_a0,sess_000010,0,2026-01-19T19:41:33,554.55,1,fashion,merchant_044,0,2822.52,3,724.32,0.766,0,2,22,0,19,sess_000010_0,legit,0
sess_000010_a1,sess_000010,0,2026-01-19T19:41:16,1224.3,1,electronics,merchant_048,1,2822.52,3,724.32,1.69,1,4,410,0,19,sess_000010_1,legit,0
sess_000010_a2,sess_000010,0,2026-01-19T20:05:33,818.71,1,electronics,merchant_011,1,2822.52,3,724.32,1.13,1,4,490,0,20,sess_000010_2,legit,0
sess_000011_a0,sess_000011,0,2026-06-01T23:44:57,527.47,1,electronics,merchant_048,1,2822.52,3,724.32,0.728,1,4,158,0,23,sess_000011_0,legit,0
sess_000011_a1,sess_000011,0,2026-06-01T23:40:40,895.85,1,books,merchant_004,1,2822.52,3,724.32,1.237,0,3,436,0,23,sess_000011_1,legit,0
sess_000012_a0,sess_000012,0,2026-05-12T12:26:08,971.92,1,electronics,merchant_040,1,2822.52,3,724.32,1.342,1,4,530,0,12,sess_000012_0,legit,0
sess_000012_a1,sess_000012,0,2026-05-12T12:28:28,474.09,1,electronics,merchant_040,1,2822.52,3,724.32,0.655,1,3,70,0,12,sess_000012_1,legit,0
sess_000012_a2,sess_000012,0,2026-05-12T12:43:18,540.97,1,electronics,merchant_048,1,2822.52,3,724.32,0.747,1,2,296,1,12,sess_000012_2,legit,0
sess_000012_a3,sess_000012,0,2026-05-12T12:32:32,992.68,1,electronics,merchant_020,0,2822.52,3,724.32,1.37,1,5,201,1,12,sess_000012_3,legit,0
sess_000012_a4,sess_000012,0,2026-05-12T12:27:40,646.69,1,electronics,merchant_038,0,2822.52,3,724.32,0.893,1,2,207,1,12,sess_000012_4,legit,0
sess_000013_a0,sess_000013,0,2026-01-22T01:20:39,4330.35,1,electronics,merchant_023,1,2822.52,3,724.32,5.979,1,2,42,0,1,sess_000013_0,amount_manipulation,1
sess_000013_a1,sess_000013,0,2026-01-22T01:16:40,1290.69,4,electronics,merchant_005,1,2822.52,3,724.32,1.782,1,3,25,1,1,sess_000013_1,quantity_manipulation,1
sess_000013_a2,sess_000013,0,2026-01-22T01:25:06,574.25,5,electronics,merchant_011,1,2822.52,3,724.32,0.793,1,3,278,0,1,sess_000013_2,quantity_manipulation,1
sess_000013_a3,sess_000013,0,2026-01-22T01:14:36,610.52,1,electronics,merchant_040,1,2822.52,3,724.32,0.843,1,15,22,0,1,sess_000013_3,velocity_abuse,1
sess_000014_a0,sess_000014,0,2026-01-24T05:37:18,1006.65,1,electronics,merchant_004,1,2822.52,3,724.32,1.39,1,2,69,1,5,sess_000014_0,legit,0
sess_000014_a1,sess_000014,0,2026-01-24T05:38:14,945.47,1,electronics,merchant_023,1,2822.52,3,724.32,1.305,1,5,560,0,5,sess_000014_1,legit,0
sess_000014_a2,sess_000014,0,2026-01-24T05:34:48,811.02,1,electronics,merchant_050,0,2822.52,3,724.32,1.12,1,2,160,0,5,sess_000014_2,legit,0
sess_000014_a3,sess_000014,0,2026-01-24T05:46:40,1132.96,1,electronics,merchant_048,0,2822.52,3,724.32,1.564,1,3,450,1,5,sess_000014_3,legit,0
sess_000014_a4,sess_000014,0,2026-01-24T05:50:45,998.48,1,electronics,merchant_023,1,2822.52,3,724.32,1.379,1,5,468,0,5,sess_000014_4,legit,0
sess_000015_a0,sess_000015,0,2026-03-20T13:00:20,4523.65,1,electronics,merchant_048,1,2822.52,3,724.32,6.245,1,3,347,1,13,sess_000015_0,amount_manipulation,1
sess_000015_a1,sess_000015,0,2026-03-20T13:03:30,379.83,4,electronics,merchant_011,1,2822.52,3,724.32,0.524,1,3,419,0,13,sess_000015_1,quantity_manipulation,1
